Comment,Designator,Footprint,LCSC Part #
1.0k,R8 R35,R0603,
1k,R15,R0603,
1n,C2 C8 C20 C30,C0603,
2.2k,R6 R17 R20,R0603,
2N3906,Q1 Q2 Q3 Q4,SOT23-BEC,
2N7002,Q6 Q7,SOT23,
4.7k,R4 R12 R26 R30,R0603,
4.7u,C12,UD-5X5 8_NICHICON,
4.7u,C27,UD-5X5 8_NICHICON,
5.6V,D1,MELF-MLL34,
10k,R2 R3 R10 R11 R14 R24 R25 R28 R29 R32 R34 R36 R61,R0603,
10p,C22 C28,C0603,
14k,R13,R0603,
18k,R7 R18,R0603,
20MHz,Q5,HC49UP,
20p,C36 C37,C0603,
22k,R31,R0603,
27k,R5,R0603,
33k,R62 R63,R0603,
47k,R22,R0603,
68k,R60,R0603,
100k,R38 R39 R40 R41 R43 R44 R45 R46 R47 R48 R49 R50 R55 R56 R57 R58 R59,R0603,
100n,C3 C4 C5 C6 C9 C10 C13 C15 C16 C18 C19 C21 C23 C25 C26 C29 C31 C32 C33 C34,C0603,
100p,C7 C11,C0603,
100u,C1,UD-6 3X7 7_NICHICON,
100u,C14,UD-6 3X7 7_NICHICON,
100u,C35,UD-6 3X7 7_NICHICON,
120k,R21,R0603,
220,R1 R9 R23 R27 R33 R42 R52 R53,R0603,
220n,C17 C24,C0603,
390k,R19,R0603,
470,R51 R54,R0603,
ATMEGA328P-AU,U1,TQFP-32,
CD4052B,IC7,SOIC16N,
LED GREEN,LED1,CHIP-LED0603,
LED RED,LED2,CHIP-LED0603,
LM13700M,IC3 IC4 IC6,SO16,
MCP4822E-SN,U2,SOIC8,
NO_TUNE,SJ1,SJ,
TL072,IC5,SOIC8,
TL072CD,IC1 IC2,SOIC8,
